,lat,lon,pre
0,45.050511498594,-79.77039722981351,
1,45.050511498594,-79.72522770422783,
2,45.050511498594,-79.68005817864217,
3,45.050511498594,-79.63488865305649,
4,45.050511498594,-79.58971912747083,
5,45.050511498594,-79.54454960188515,
6,45.050511498594,-79.49938007629949,
7,45.050511498594,-79.45421055071381,
8,45.050511498594,-79.40904102512815,
9,45.050511498594,-79.36387149954247,
10,45.050511498594,-79.3187019739568,
11,45.050511498594,-79.27353244837113,
12,45.050511498594,-79.22836292278546,
13,45.050511498594,-79.18319339719979,
14,45.050511498594,-79.13802387161412,
15,45.050511498594,-79.09285434602845,
16,45.050511498594,-79.04768482044278,
17,45.050511498594,-79.0025152948571,
18,45.050511498594,-78.95734576927144,
19,45.050511498594,-78.91217624368576,
20,45.050511498594,-78.8670067181001,
21,45.050511498594,-78.82183719251442,
22,45.050511498594,-78.77666766692876,
23,45.050511498594,-78.73149814134308,
24,45.050511498594,-78.68632861575742,
25,45.050511498594,-78.64115909017174,
26,45.050511498594,-78.59598956458606,
27,45.050511498594,-78.5508200390004,
28,45.050511498594,-78.50565051341472,
29,45.050511498594,-78.46048098782906,
30,45.050511498594,-78.41531146224338,
31,45.050511498594,-78.37014193665772,
32,45.050511498594,-78.32497241107204,
33,45.050511498594,-78.27980288548638,
34,45.050511498594,-78.2346333599007,
35,45.050511498594,-78.18946383431503,
36,45.050511498594,-78.14429430872936,
37,45.050511498594,-78.0991247831437,
38,45.050511498594,-78.05395525755802,
39,45.050511498594,-78.00878573197235,
40,45.050511498594,-77.96361620638667,
41,45.050511498594,-77.91844668080101,
42,45.050511498594,-77.87327715521533,
43,45.050511498594,-77.82810762962967,
44,45.050511498594,-77.78293810404399,
45,45.050511498594,-77.73776857845833,
46,45.050511498594,-77.69259905287265,
47,45.050511498594,-77.64742952728699,
48,45.050511498594,-77.60226000170131,
49,45.050511498594,-77.55709047611565,
50,45.050511498594,-77.51192095052997,
51,45.050511498594,-77.4667514249443,
52,45.050511498594,-77.42158189935863,
53,45.050511498594,-77.37641237377295,
54,45.050511498594,-77.33124284818729,
55,45.050511498594,-77.28607332260161,
56,45.050511498594,-77.24090379701595,
57,45.050511498594,-77.19573427143027,
58,45.050511498594,-77.1505647458446,
59,45.050511498594,-77.10539522025893,
60,45.050511498594,-77.06022569467326,
61,45.050511498594,-77.01505616908759,
62,45.050511498594,-76.96988664350192,
63,45.050511498594,-76.92471711791625,
64,45.050511498594,-76.87954759233058,
65,45.050511498594,-76.8343780667449,
66,45.050511498594,-76.78920854115924,
67,45.050511498594,-76.74403901557356,
68,45.050511498594,-76.6988694899879,
69,45.050511498594,-76.65369996440222,
70,45.050511498594,-76.60853043881656,
71,45.050511498594,-76.56336091323088,
72,45.050511498594,-76.51819138764522,
73,45.050511498594,-76.47302186205954,
74,45.050511498594,-76.42785233647388,
75,45.050511498594,-76.3826828108882,
76,45.050511498594,-76.33751328530252,
77,45.050511498594,-76.29234375971686,
78,45.050511498594,-76.24717423413118,
79,45.050511498594,-76.20200470854552,
80,45.050511498594,-76.15683518295984,
81,45.050511498594,-76.11166565737417,
82,45.050511498594,-76.0664961317885,
83,45.050511498594,-76.02132660620283,
84,45.050511498594,-75.97615708061716,
85,45.050511498594,-75.93098755503149,
86,45.050511498594,-75.88581802944582,
87,45.050511498594,-75.84064850386015,
88,45.050511498594,-75.79547897827447,
89,45.050511498594,-75.75030945268881,
90,45.050511498594,-75.70513992710313,
91,45.050511498594,-75.65997040151747,
92,45.050511498594,-75.61480087593179,
93,45.050511498594,-75.56963135034613,
94,45.050511498594,-75.52446182476045,
95,45.050511498594,-75.47929229917479,
96,45.050511498594,-75.43412277358911,
97,45.050511498594,-75.38895324800345,
98,45.050511498594,-75.34378372241777,
99,45.050511498594,-75.2986141968321,
100,45.050511498594,-75.25344467124643,
101,45.050511498594,-75.20827514566076,
102,45.050511498594,-75.16310562007509,
103,45.050511498594,-75.11793609448941,
104,45.050511498594,-75.07276656890375,
105,45.050511498594,-75.02759704331807,
106,45.050511498594,-74.9824275177324,
107,45.050511498594,-74.93725799214673,
108,45.050511498594,-74.89208846656106,
109,45.050511498594,-74.84691894097539,2.3975422
110,45.050511498594,-74.80174941538972,2.3821602
111,45.050511498594,-74.75657988980404,
112,45.050511498594,-74.71141036421838,
113,45.050511498594,-74.6662408386327,
114,45.050511498594,-74.62107131304704,
115,45.050511498594,-74.57590178746136,
116,45.050511498594,-74.5307322618757,
117,45.050511498594,-74.48556273629002,
118,45.050511498594,-74.44039321070436,
119,45.050511498594,-74.39522368511868,
120,45.050511498594,-74.35005415953302,
121,45.050511498594,-74.30488463394734,
122,45.050511498594,-74.25971510836168,
123,45.050511498594,-74.214545582776,
124,45.050511498594,-74.16937605719033,
125,45.050511498594,-74.12420653160466,
126,45.050511498594,-74.07903700601899,
127,45.050511498594,-74.03386748043332,
128,45.050511498594,-73.98869795484765,
129,45.050511498594,-73.94352842926197,
130,45.050511498594,-73.8983589036763,
131,45.050511498594,-73.85318937809063,
132,45.050511498594,-73.80801985250496,
133,45.050511498594,-73.76285032691929,
134,45.050511498594,-73.71768080133361,
135,45.050511498594,-73.67251127574795,
136,45.050511498594,-73.62734175016227,
137,45.050511498594,-73.58217222457661,
138,45.050511498594,-73.53700269899093,
139,45.050511498594,-73.49183317340527,
140,45.050511498594,-73.44666364781959,2.1390314
141,45.050511498594,-73.40149412223393,2.099875
142,45.050511498594,-73.35632459664825,2.1397705
143,45.050511498594,-73.31115507106259,2.1524158
144,45.050511498594,-73.26598554547691,
