"","x","y","precipitation"
"110",-74.8521210492591,45.028053616491,2.39754223823547
"111",-74.8072052850532,45.028053616491,2.38216018676758
"141",-73.4597323588739,45.028053616491,2.13903141021729
"142",-73.4148165946679,45.028053616491,2.09987497329712
"143",-73.3699008304619,45.028053616491,2.1397705078125
"144",-73.3249850662559,45.028053616491,2.15241575241089
"285",-74.9868683418771,44.983137852285,2.42613339424133
"286",-74.9419525776711,44.983137852285,2.38945770263672
"287",-74.8970368134651,44.983137852285,2.30342507362366
"288",-74.8521210492591,44.983137852285,2.30342507362366
"289",-74.8072052850532,44.983137852285,2.21453881263733
"290",-74.7622895208472,44.983137852285,2.28878545761108
"291",-74.7173737566412,44.983137852285,2.32841920852661
"292",-74.6724579924352,44.983137852285,2.31740069389343
"293",-74.6275422282293,44.983137852285,2.34186863899231
"294",-74.5826264640233,44.983137852285,2.36057686805725
"295",-74.5377106998173,44.983137852285,2.35340118408203
"296",-74.4927949356113,44.983137852285,2.32878613471985
"297",-74.4478791714053,44.983137852285,2.3258101940155
"298",-74.4029634071994,44.983137852285,2.3258101940155
"299",-74.3580476429934,44.983137852285,2.27603602409363
"300",-74.3131318787874,44.983137852285,2.28236675262451
"301",-74.2682161145814,44.983137852285,2.24554753303528
"302",-74.2233003503755,44.983137852285,2.30319237709045
"303",-74.1783845861695,44.983137852285,2.30979919433594
"304",-74.1334688219635,44.983137852285,2.38674902915955
"305",-74.0885530577575,44.983137852285,2.38233065605164
"306",-74.0436372935516,44.983137852285,2.38861489295959
"307",-73.9987215293456,44.983137852285,2.36719655990601
"308",-73.9538057651396,44.983137852285,2.36719655990601
"309",-73.9088900009336,44.983137852285,2.37039470672607
"310",-73.8639742367277,44.983137852285,2.24213004112244
"311",-73.8190584725217,44.983137852285,2.14133858680725
"312",-73.7741427083157,44.983137852285,2.03516674041748
"313",-73.7292269441097,44.983137852285,2.11776256561279
"314",-73.6843111799038,44.983137852285,2.19875383377075
"315",-73.6393954156978,44.983137852285,2.20663213729858
"316",-73.5944796514918,44.983137852285,2.22514390945435
"317",-73.5495638872858,44.983137852285,2.12703013420105
"318",-73.5046481230798,44.983137852285,2.12703013420105
"319",-73.4597323588739,44.983137852285,1.99858546257019
"320",-73.4148165946679,44.983137852285,1.96471512317657
"321",-73.3699008304619,44.983137852285,2.00887012481689
"322",-73.3249850662559,44.983137852285,2.10809564590454
"460",-75.121615634495,44.9382220880791,2.64696145057678
"461",-75.076699870289,44.9382220880791,2.55901479721069
"462",-75.031784106083,44.9382220880791,2.5655722618103
"463",-74.9868683418771,44.9382220880791,2.50880813598633
"464",-74.9419525776711,44.9382220880791,2.50880122184753
"465",-74.8970368134651,44.9382220880791,2.3759298324585
"466",-74.8521210492591,44.9382220880791,2.3759298324585
"467",-74.8072052850532,44.9382220880791,2.29281377792358
"468",-74.7622895208472,44.9382220880791,2.37815523147583
"469",-74.7173737566412,44.9382220880791,2.37850952148438
"470",-74.6724579924352,44.9382220880791,2.39888548851013
"471",-74.6275422282293,44.9382220880791,2.42220306396484
"472",-74.5826264640233,44.9382220880791,2.45111465454102
"473",-74.5377106998173,44.9382220880791,2.42289900779724
"474",-74.4927949356113,44.9382220880791,2.3810019493103
"475",-74.4478791714053,44.9382220880791,2.40591096878052
"476",-74.4029634071994,44.9382220880791,2.40591096878052
"477",-74.3580476429934,44.9382220880791,2.34934902191162
"478",-74.3131318787874,44.9382220880791,2.35363936424255
"479",-74.2682161145814,44.9382220880791,2.29077482223511
"480",-74.2233003503755,44.9382220880791,2.32987666130066
"481",-74.1783845861695,44.9382220880791,2.31070399284363
"482",-74.1334688219635,44.9382220880791,2.36872410774231
"483",-74.0885530577575,44.9382220880791,2.38490724563599
"484",-74.0436372935516,44.9382220880791,2.39115023612976
"485",-73.9987215293456,44.9382220880791,2.37293672561646
"486",-73.9538057651396,44.9382220880791,2.37293672561646
"487",-73.9088900009336,44.9382220880791,2.36593508720398
"488",-73.8639742367277,44.9382220880791,2.21116995811462
"489",-73.8190584725217,44.9382220880791,2.08362007141113
"490",-73.7741427083157,44.9382220880791,1.95439004898071
"491",-73.7292269441097,44.9382220880791,2.1229841709137
"492",-73.6843111799038,44.9382220880791,2.22983431816101
"493",-73.6393954156978,44.9382220880791,2.27225542068481
"494",-73.5944796514918,44.9382220880791,2.20273900032043
"495",-73.5495638872858,44.9382220880791,2.09123706817627
"496",-73.5046481230798,44.9382220880791,2.09123706817627
"497",-73.4597323588739,44.9382220880791,1.97486901283264
"498",-73.4148165946679,44.9382220880791,1.82148897647858
"499",-73.3699008304619,44.9382220880791,1.86127161979675
"500",-73.3249850662559,44.9382220880791,2.04566955566406
"636",-75.2114471629069,44.8933063238731,2.59679746627808
"637",-75.166531398701,44.8933063238731,2.65380048751831
"638",-75.121615634495,44.8933063238731,2.6422131061554
"639",-75.076699870289,44.8933063238731,2.58780264854431
"640",-75.031784106083,44.8933063238731,2.50886034965515
"641",-74.9868683418771,44.8933063238731,2.48534560203552
"642",-74.9419525776711,44.8933063238731,2.48086667060852
"643",-74.8970368134651,44.8933063238731,2.44736576080322
"644",-74.8521210492591,44.8933063238731,2.44736576080322
"645",-74.8072052850532,44.8933063238731,2.43057107925415
"646",-74.7622895208472,44.8933063238731,2.45303130149841
"647",-74.7173737566412,44.8933063238731,2.45817828178406
"648",-74.6724579924352,44.8933063238731,2.43917942047119
"649",-74.6275422282293,44.8933063238731,2.44261503219604
"650",-74.5826264640233,44.8933063238731,2.46672248840332
"651",-74.5377106998173,44.8933063238731,2.44615030288696
